id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
878,no checking account,48,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
879,no checking account,9,no credits taken/all credits paid back duly,furniture/equipment,1366,unknown/no savings account,< 1 yr,20 <= ... < 25,none,>= 7 yrs,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,bad
880,no checking account,24,critical account/other credits elsewhere,business,1358,... >= 1000 DM,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,40,stores,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
881,no checking account,18,no credits taken/all credits paid back duly,car (used),2473,unknown/no savings account,unemployed,< 20,none,< 1 yr,building soc. savings agr./life insurance,25,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,bad
882,0<= ... < 200 DM,9,delay in paying off in the past,furniture/equipment,1337,unknown/no savings account,< 1 yr,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
883,no checking account,48,no credits taken/all credits paid back duly,others,7763,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,42,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
884,... < 0 DM,15,critical account/other credits elsewhere,others,1264,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
885,... < 0 DM,15,no credits taken/all credits paid back duly,others,2631,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
886,... < 0 DM,48,no credits taken/all credits paid back duly,others,6560,... <  100 DM,4 <= ... < 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
887,no checking account,24,no credits taken/all credits paid back duly,others,3123,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,car or other,27,none,rent,1,skilled employee/official,0 to 2,no,no,bad
888,no checking account,36,all credits at this bank paid back duly,repairs,8065,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,real estate,25,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
889,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,2439,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
890,... < 0 DM,36,no credits taken/all credits paid back duly,car (used),9034,... <  100 DM,< 1 yr,< 20,co-applicant,< 1 yr,real estate,29,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
891,... < 0 DM,60,no credits taken/all credits paid back duly,others,14027,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,1 <= ... < 4 yrs,real estate,27,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
892,no checking account,36,all credits at this bank paid back duly,car (new),9629,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
893,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1484,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
894,no checking account,18,no credits taken/all credits paid back duly,car (used),1131,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
895,... < 0 DM,24,existing credits paid back duly till now,car (used),2064,unknown/no savings account,unemployed,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,34,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
896,... < 0 DM,18,no credits taken/all credits paid back duly,car (new),12976,unknown/no savings account,unemployed,20 <= ... < 25,none,>= 7 yrs,real estate,38,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
897,... >= 200 DM / salary for at least 1 year,21,existing credits paid back duly till now,retraining,2580,100 <= ... <  500 DM,< 1 yr,< 20,none,1 <= ... < 4 yrs,unknown / no property,41,bank,rent,1,unskilled - resident,3 or more,no,no,bad
898,... >= 200 DM / salary for at least 1 year,27,no credits taken/all credits paid back duly,others,2570,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,unknown / no property,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
899,... < 0 DM,27,no credits taken/all credits paid back duly,retraining,3915,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,bad
900,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1309,... >= 1000 DM,1 <= ... < 4 yrs,< 20,guarantor,>= 7 yrs,car or other,27,none,rent,1,unskilled - resident,0 to 2,no,no,bad
901,no checking account,24,no credits taken/all credits paid back duly,others,4817,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
902,no checking account,12,no credits taken/all credits paid back duly,others,2579,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,unknown / no property,33,none,rent,1,unskilled - resident,3 or more,no,no,bad
903,... < 0 DM,36,existing credits paid back duly till now,others,2225,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,57,bank,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
904,no checking account,18,no credits taken/all credits paid back duly,car (used),4153,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,no,no,bad
905,no checking account,18,delay in paying off in the past,car (used),3114,unknown/no savings account,< 1 yr,>= 35,none,>= 7 yrs,car or other,26,none,for free,1,skilled employee/official,0 to 2,no,no,bad
906,no checking account,18,all credits at this bank paid back duly,car (used),2124,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,24,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
907,no checking account,18,critical account/other credits elsewhere,car (used),1553,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,44,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
908,no checking account,30,no credits taken/all credits paid back duly,car (used),2406,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,bad
909,no checking account,24,existing credits paid back duly till now,others,1333,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,unknown / no property,43,none,own,2-3,skilled employee/official,3 or more,no,no,bad
910,no checking account,48,delay in paying off in the past,car (used),7119,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,53,none,own,2-3,skilled employee/official,3 or more,no,no,bad
911,no checking account,24,existing credits paid back duly till now,others,4870,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,53,none,own,2-3,skilled employee/official,3 or more,no,no,bad
912,no checking account,12,all credits at this bank paid back duly,others,691,unknown/no savings account,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
913,no checking account,42,existing credits paid back duly till now,furniture/equipment,4370,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,26,bank,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,bad
914,no checking account,36,critical account/other credits elsewhere,car (used),2746,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,31,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
915,no checking account,24,delay in paying off in the past,car (used),4110,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,23,bank,for free,2-3,skilled employee/official,3 or more,no,no,bad
916,no checking account,18,no credits taken/all credits paid back duly,car (used),2462,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
917,no checking account,12,no credits taken/all credits paid back duly,car (used),1282,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,bad
918,... < 0 DM,12,delay in paying off in the past,car (used),2969,unknown/no savings account,< 1 yr,< 20,none,4 <= ... < 7 yrs,car or other,25,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
919,no checking account,48,delay in paying off in the past,car (new),4605,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,24,none,own,2-3,skilled employee/official,3 or more,no,no,bad
920,no checking account,48,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,46,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
921,no checking account,24,critical account/other credits elsewhere,car (used),3552,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,>= 7 yrs,building soc. savings agr./life insurance,27,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
922,no checking account,12,critical account/other credits elsewhere,others,697,unknown/no savings account,< 1 yr,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,46,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
923,no checking account,24,no credits taken/all credits paid back duly,others,1442,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
924,no checking account,27,delay in paying off in the past,retraining,5293,unknown/no savings account,unemployed,25 <= ... < 35,none,>= 7 yrs,car or other,50,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
925,no checking account,21,existing credits paid back duly till now,repairs,3414,unknown/no savings account,< 1 yr,25 <= ... < 35,none,< 1 yr,car or other,26,stores,rent,2-3,skilled employee/official,0 to 2,no,no,bad
926,no checking account,18,no credits taken/all credits paid back duly,car (used),2039,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,unknown / no property,20,none,for free,1,skilled employee/official,0 to 2,no,no,bad
927,no checking account,24,critical account/other credits elsewhere,retraining,3161,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,car or other,31,bank,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
928,no checking account,12,no credits taken/all credits paid back duly,vacation,902,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
929,no checking account,48,no credits taken/all credits paid back duly,car (new),10297,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,real estate,39,none,own,4-5,skilled employee/official,3 or more,yes (under customer name),no,bad
930,... < 0 DM,48,delay in paying off in the past,retraining,14421,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
931,... < 0 DM,18,all credits at this bank paid back duly,others,1056,unknown/no savings account,>= 7 yrs,20 <= ... < 25,guarantor,4 <= ... < 7 yrs,unknown / no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
932,no checking account,12,no credits taken/all credits paid back duly,others,1274,unknown/no savings account,< 1 yr,20 <= ... < 25,none,< 1 yr,unknown / no property,37,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
933,... < 0 DM,12,no credits taken/all credits paid back duly,others,1223,unknown/no savings account,>= 7 yrs,>= 35,none,< 1 yr,unknown / no property,46,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
934,no checking account,12,no credits taken/all credits paid back duly,others,1372,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,no,no,bad
935,no checking account,16,all credits at this bank paid back duly,others,2625,unknown/no savings account,>= 7 yrs,25 <= ... < 35,guarantor,>= 7 yrs,car or other,43,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),yes,bad
936,no checking account,20,all credits at this bank paid back duly,others,2235,unknown/no savings account,1 <= ... < 4 yrs,< 20,guarantor,1 <= ... < 4 yrs,car or other,33,bank,for free,2-3,skilled employee/official,0 to 2,no,yes,bad
937,... < 0 DM,9,no credits taken/all credits paid back duly,car (used),959,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
938,... < 0 DM,18,all credits at this bank paid back duly,others,884,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,bad
939,... < 0 DM,24,no credits taken/all credits paid back duly,others,1246,unknown/no savings account,< 1 yr,< 20,none,1 <= ... < 4 yrs,unknown / no property,23,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
940,... < 0 DM,36,existing credits paid back duly till now,others,8086,... <  100 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,42,stores,rent,>= 6,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
941,... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,others,10127,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,real estate,44,none,own,1,skilled employee/official,0 to 2,no,no,bad
942,... < 0 DM,12,no credits taken/all credits paid back duly,others,888,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,41,bank,rent,1,unskilled - resident,3 or more,no,no,bad
